english,spanish,english_sentence,spanish_sentence,POS,CEFR,ipa,family_size,frequency
admission,admisión,Temporary admission was granted,Se concedió admisión temporal,NOUN,B2,/ədˈmɪʃ.ən/,3,3501
admission record,registro de admisión,Check your admission record online,Verificar registro de admisión en línea,NOUN,B2,/ədˈmɪʃ.ən ˈrek.ɔːd/,3,2489
application,solicitud,Visa application requires documents,La solicitud de visa requiere documentos,NOUN,B1,/ˌæp.lɪˈkeɪ.ʃən/,5,5000
adjudication,adjudicación,Visa adjudication process is complex,El proceso de adjudicación de visa es complejo,NOUN,C2,/əˌdʒuː.dɪˈkeɪ.ʃən/,2,1696
admission record,registro de admisión,Check your admission record online,Verificar registro de admisión en línea,NOUN,B2,/ədˈmɪʃ.ən ˈrek.ɔːd/,2,2454
asylum withholding,retención de asilo,Asylum withholding deportation granted,Se concedió retención de deportación por asilo,NOUN,C2,/əˈsaɪ.ləm wɪðˈhəʊl.dɪŋ/,2,1114
adjustment,ajuste,Adjustment of status requires forms,El ajuste de estatus requiere formularios,NOUN,C1,/əˈdʒʌst.mənt/,4,2355
admission record,registro de admisión,Check your admission record online,Verificar registro de admisión en línea,NOUN,B2,/ədˈmɪʃ.ən ˈrek.ɔːd/,2,2416
applicant interview,entrevista del solicitante,Applicant interview scheduled for Monday,Entrevista del solicitante programada para lunes,NOUN,B2,/ˈæp.lɪ.kənt ˈɪn.tə.vjuː/,4,2765
approval,aprobación,Work permit approval takes 90 days,La aprobación del permiso de trabajo toma 90 días,NOUN,B2,/əˈpruː.vəl/,3,2861
asylum officer,oficial de asilo,Asylum officer conducted credible fear interview,El oficial de asilo realizó entrevista de temor creíble,NOUN,C1,/əˈsaɪ.ləm ˈɒf.ɪ.sər/,4,1513
alien,extranjero,The alien registration is mandatory,El registro de extranjeros es obligatorio,NOUN,C1,/ˈeɪ.li.ən/,2,2941
applicant,solicitante,The applicant must attend the interview,El solicitante debe asistir a la entrevista,NOUN,B2,/ˈæp.lɪ.kənt/,4,4608
advance parole,permiso anticipado de viaje,Advance parole allows reentry,El permiso anticipado permite reingreso,NOUN,C1,/ədˈvɑːns pəˈroʊl/,3,1773
asylee,asilado,The asylee received work authorization,El asilado recibió autorización de trabajo,NOUN,C1,/əˈsaɪ.liː/,1,1886
affidavit support,declaración de apoyo,Affidavit of support required for family,Se requiere declaración de apoyo para familia,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt əv səˈpɔːrt/,2,1205
affidavit support,declaración de apoyo,Affidavit of support required for family,Se requiere declaración de apoyo para familia,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt əv səˈpɔːrt/,3,1332
appellant,apelante,Appellant has 30 days to appeal,El apelante tiene 30 días para apelar,NOUN,C1,/əˈpel.ənt/,3,1253
alien,extranjero,The alien registration is mandatory,El registro de extranjeros es obligatorio,NOUN,C1,/ˈeɪ.li.ən/,1,2937
affidavit support,declaración de apoyo,Affidavit of support required for family,Se requiere declaración de apoyo para familia,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt əv səˈpɔːrt/,4,1316
application,solicitud,Visa application requires documents,La solicitud de visa requiere documentos,NOUN,B1,/ˌæp.lɪˈkeɪ.ʃən/,6,5000
appellant,apelante,Appellant has 30 days to appeal,El apelante tiene 30 días para apelar,NOUN,C1,/əˈpel.ənt/,2,1273
appellant,apelante,Appellant has 30 days to appeal,El apelante tiene 30 días para apelar,NOUN,C1,/əˈpel.ənt/,1,1229
affirmative asylum,asilo afirmativo,Affirmative asylum filed with USCIS,Asilo afirmativo presentado ante USCIS,NOUN,C2,/əˈfɜːr.mə.tɪv əˈsaɪ.ləm/,2,970
affirmative asylum,asilo afirmativo,Affirmative asylum filed with USCIS,Asilo afirmativo presentado ante USCIS,NOUN,C2,/əˈfɜːr.mə.tɪv əˈsaɪ.ləm/,1,1113
attorney,abogado,Immigration attorney filed the petition,El abogado de inmigración presentó la petición,NOUN,B2,/əˈtɜː.ni/,3,4348
asylum claim,solicitud de asilo,Asylum claim requires credible fear,La solicitud de asilo requiere temor creíble,NOUN,C1,/əˈsaɪ.ləm kleɪm/,3,1981
affirmative asylum,asilo afirmativo,Affirmative asylum filed with USCIS,Asilo afirmativo presentado ante USCIS,NOUN,C2,/əˈfɜːr.mə.tɪv əˈsaɪ.ləm/,1,1091
asylee,asilado,The asylee received work authorization,El asilado recibió autorización de trabajo,NOUN,C1,/əˈsaɪ.liː/,1,1898
admissible,admisible,Applicant is admissible to the US,El solicitante es admisible a EE.UU.,ADJ,C1,/ədˈmɪs.ə.bəl/,1,1851
approval,aprobación,Work permit approval takes 90 days,La aprobación del permiso de trabajo toma 90 días,NOUN,B2,/əˈpruː.vəl/,3,2761
appeal,apelación,The appeal was filed within 30 days,La apelación se presentó dentro de 30 días,NOUN,B2,/əˈpiːl/,5,3946
approval,aprobación,Work permit approval takes 90 days,La aprobación del permiso de trabajo toma 90 días,NOUN,B2,/əˈpruː.vəl/,4,2770
administrative review,revisión administrativa,Administrative review takes 6 months,La revisión administrativa toma 6 meses,NOUN,B2,/ədˌmɪn.ɪˈstreɪ.tɪv rɪˈvjuː/,2,2152
admission hearing,audiencia de admisión,Admission hearing set for next week,Audiencia de admisión programada para próxima semana,NOUN,B2,/ədˈmɪʃ.ən ˈhɪə.rɪŋ/,3,2043
admission,admisión,Temporary admission was granted,Se concedió admisión temporal,NOUN,B2,/ədˈmɪʃ.ən/,4,3468
asylum,asilo,The asylum application was approved,La solicitud de asilo fue aprobada,NOUN,C1,/əˈsaɪ.ləm/,2,2887
administrative,administrativo,Administrative processing delayed visa,El procesamiento administrativo retrasó la visa,ADJ,B2,/ədˌmɪn.ɪˈstreɪ.tɪv/,5,2997
appeal,apelación,The appeal was filed within 30 days,La apelación se presentó dentro de 30 días,NOUN,B2,/əˈpiːl/,4,3906
adjudication,adjudicación,Visa adjudication process is complex,El proceso de adjudicación de visa es complejo,NOUN,C2,/əˌdʒuː.dɪˈkeɪ.ʃən/,3,1629
alien registration,registro de extranjeros,Alien registration card required,Se requiere tarjeta de registro de extranjeros,NOUN,C1,/ˈeɪ.li.ən ˌredʒ.ɪˈstreɪ.ʃən/,3,2094
alien registration,registro de extranjeros,Alien registration card required,Se requiere tarjeta de registro de extranjeros,NOUN,C1,/ˈeɪ.li.ən ˌredʒ.ɪˈstreɪ.ʃən/,4,2059
applicant interview,entrevista del solicitante,Applicant interview scheduled for Monday,Entrevista del solicitante programada para lunes,NOUN,B2,/ˈæp.lɪ.kənt ˈɪn.tə.vjuː/,4,2722
appeal,apelación,The appeal was filed within 30 days,La apelación se presentó dentro de 30 días,NOUN,B2,/əˈpiːl/,4,3938
asylum seeker,solicitante de asilo,Asylum seekers need legal help,Los solicitantes de asilo necesitan ayuda legal,NOUN,C1,/əˈsaɪ.ləm ˈsiː.kər/,3,2157
applicant,solicitante,The applicant must attend the interview,El solicitante debe asistir a la entrevista,NOUN,B2,/ˈæp.lɪ.kənt/,3,4696
alien registration,registro de extranjeros,Alien registration card required,Se requiere tarjeta de registro de extranjeros,NOUN,C1,/ˈeɪ.li.ən ˌredʒ.ɪˈstreɪ.ʃən/,4,2105
application,solicitud,Visa application requires documents,La solicitud de visa requiere documentos,NOUN,B1,/ˌæp.lɪˈkeɪ.ʃən/,6,5000
administrative review,revisión administrativa,Administrative review takes 6 months,La revisión administrativa toma 6 meses,NOUN,B2,/ədˌmɪn.ɪˈstreɪ.tɪv rɪˈvjuː/,2,2114
affidavit support,declaración de apoyo,Affidavit of support required for family,Se requiere declaración de apoyo para familia,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt əv səˈpɔːrt/,2,1197
asylee,asilado,The asylee received work authorization,El asilado recibió autorización de trabajo,NOUN,C1,/əˈsaɪ.liː/,2,1853
asylum eligibility,elegibilidad de asilo,Asylum eligibility requires persecution fear,La elegibilidad de asilo requiere temor a persecución,NOUN,C1,/əˈsaɪ.ləm ɪˌli.dʒəˈbɪl.ə.ti/,3,1681
alien registration,registro de extranjeros,Alien registration card required,Se requiere tarjeta de registro de extranjeros,NOUN,C1,/ˈeɪ.li.ən ˌredʒ.ɪˈstreɪ.ʃən/,3,2188
affidavit,declaración jurada,Submit affidavit of support,Presentar declaración jurada de apoyo,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt/,2,1292
affirmative asylum,asilo afirmativo,Affirmative asylum filed with USCIS,Asilo afirmativo presentado ante USCIS,NOUN,C2,/əˈfɜːr.mə.tɪv əˈsaɪ.ləm/,2,1090
advance parole,permiso anticipado de viaje,Advance parole allows reentry,El permiso anticipado permite reingreso,NOUN,C1,/ədˈvɑːns pəˈroʊl/,3,1617
adjustment,ajuste,Adjustment of status requires forms,El ajuste de estatus requiere formularios,NOUN,C1,/əˈdʒʌst.mənt/,3,2481
appellant,apelante,Appellant has 30 days to appeal,El apelante tiene 30 días para apelar,NOUN,C1,/əˈpel.ənt/,3,1239
admission parole,parole de admisión,Admission parole allows temporary stay,El parole de admisión permite estadía temporal,NOUN,C1,/ədˈmɪʃ.ən pəˈroʊl/,2,1718
applicant interview,entrevista del solicitante,Applicant interview scheduled for Monday,Entrevista del solicitante programada para lunes,NOUN,B2,/ˈæp.lɪ.kənt ˈɪn.tə.vjuː/,5,2721
affidavit,declaración jurada,Submit affidavit of support,Presentar declaración jurada de apoyo,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt/,1,1186
asylum claim,solicitud de asilo,Asylum claim requires credible fear,La solicitud de asilo requiere temor creíble,NOUN,C1,/əˈsaɪ.ləm kleɪm/,4,2047
application,solicitud,Visa application requires documents,La solicitud de visa requiere documentos,NOUN,B1,/ˌæp.lɪˈkeɪ.ʃən/,6,5000
affidavit,declaración jurada,Submit affidavit of support,Presentar declaración jurada de apoyo,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt/,1,1290
adjudication,adjudicación,Visa adjudication process is complex,El proceso de adjudicación de visa es complejo,NOUN,C2,/əˌdʒuː.dɪˈkeɪ.ʃən/,1,1621
asylum seeker,solicitante de asilo,Asylum seekers need legal help,Los solicitantes de asilo necesitan ayuda legal,NOUN,C1,/əˈsaɪ.ləm ˈsiː.kər/,5,2096
alien registration,registro de extranjeros,Alien registration card required,Se requiere tarjeta de registro de extranjeros,NOUN,C1,/ˈeɪ.li.ən ˌredʒ.ɪˈstreɪ.ʃən/,4,2173
admissible,admisible,Applicant is admissible to the US,El solicitante es admisible a EE.UU.,ADJ,C1,/ədˈmɪs.ə.bəl/,1,1840
admission hearing,audiencia de admisión,Admission hearing set for next week,Audiencia de admisión programada para próxima semana,NOUN,B2,/ədˈmɪʃ.ən ˈhɪə.rɪŋ/,4,2128
admission parole,parole de admisión,Admission parole allows temporary stay,El parole de admisión permite estadía temporal,NOUN,C1,/ədˈmɪʃ.ən pəˈroʊl/,4,1722
applicant,solicitante,The applicant must attend the interview,El solicitante debe asistir a la entrevista,NOUN,B2,/ˈæp.lɪ.kənt/,5,4544
asylum,asilo,The asylum application was approved,La solicitud de asilo fue aprobada,NOUN,C1,/əˈsaɪ.ləm/,3,2878
attorney,abogado,Immigration attorney filed the petition,El abogado de inmigración presentó la petición,NOUN,B2,/əˈtɜː.ni/,3,4455
alien registration,registro de extranjeros,Alien registration card required,Se requiere tarjeta de registro de extranjeros,NOUN,C1,/ˈeɪ.li.ən ˌredʒ.ɪˈstreɪ.ʃən/,4,2075
admission parole,parole de admisión,Admission parole allows temporary stay,El parole de admisión permite estadía temporal,NOUN,C1,/ədˈmɪʃ.ən pəˈroʊl/,4,1689
appellant,apelante,Appellant has 30 days to appeal,El apelante tiene 30 días para apelar,NOUN,C1,/əˈpel.ənt/,2,1309
asylum eligibility,elegibilidad de asilo,Asylum eligibility requires persecution fear,La elegibilidad de asilo requiere temor a persecución,NOUN,C1,/əˈsaɪ.ləm ɪˌli.dʒəˈbɪl.ə.ti/,4,1647
admission,admisión,Temporary admission was granted,Se concedió admisión temporal,NOUN,B2,/ədˈmɪʃ.ən/,3,3430
adjudication,adjudicación,Visa adjudication process is complex,El proceso de adjudicación de visa es complejo,NOUN,C2,/əˌdʒuː.dɪˈkeɪ.ʃən/,1,1748
admission hearing,audiencia de admisión,Admission hearing set for next week,Audiencia de admisión programada para próxima semana,NOUN,B2,/ədˈmɪʃ.ən ˈhɪə.rɪŋ/,3,1949
application,solicitud,Visa application requires documents,La solicitud de visa requiere documentos,NOUN,B1,/ˌæp.lɪˈkeɪ.ʃən/,7,5000
appeal,apelación,The appeal was filed within 30 days,La apelación se presentó dentro de 30 días,NOUN,B2,/əˈpiːl/,6,3893
applicant,solicitante,The applicant must attend the interview,El solicitante debe asistir a la entrevista,NOUN,B2,/ˈæp.lɪ.kənt/,5,4654
asylum seeker,solicitante de asilo,Asylum seekers need legal help,Los solicitantes de asilo necesitan ayuda legal,NOUN,C1,/əˈsaɪ.ləm ˈsiː.kər/,5,2125
adjustment,ajuste,Adjustment of status requires forms,El ajuste de estatus requiere formularios,NOUN,C1,/əˈdʒʌst.mənt/,2,2403
asylum officer,oficial de asilo,Asylum officer conducted credible fear interview,El oficial de asilo realizó entrevista de temor creíble,NOUN,C1,/əˈsaɪ.ləm ˈɒf.ɪ.sər/,3,1638
admissible,admisible,Applicant is admissible to the US,El solicitante es admisible a EE.UU.,ADJ,C1,/ədˈmɪs.ə.bəl/,3,1936
adjustment interview,entrevista de ajuste,Adjustment interview requires biometrics,La entrevista de ajuste requiere biométricos,NOUN,C1,/əˈdʒʌst.mənt ˈɪn.tə.vjuː/,2,2405
applicant,solicitante,The applicant must attend the interview,El solicitante debe asistir a la entrevista,NOUN,B2,/ˈæp.lɪ.kənt/,5,4550
asylum claim,solicitud de asilo,Asylum claim requires credible fear,La solicitud de asilo requiere temor creíble,NOUN,C1,/əˈsaɪ.ləm kleɪm/,3,2047
admissible,admisible,Applicant is admissible to the US,El solicitante es admisible a EE.UU.,ADJ,C1,/ədˈmɪs.ə.bəl/,1,1833
asylum withholding,retención de asilo,Asylum withholding deportation granted,Se concedió retención de deportación por asilo,NOUN,C2,/əˈsaɪ.ləm wɪðˈhəʊl.dɪŋ/,3,1104
affidavit support,declaración de apoyo,Affidavit of support required for family,Se requiere declaración de apoyo para familia,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt əv səˈpɔːrt/,3,1296
adjustment,ajuste,Adjustment of status requires forms,El ajuste de estatus requiere formularios,NOUN,C1,/əˈdʒʌst.mənt/,2,2377
admission record,registro de admisión,Check your admission record online,Verificar registro de admisión en línea,NOUN,B2,/ədˈmɪʃ.ən ˈrek.ɔːd/,2,2336
asylum withholding,retención de asilo,Asylum withholding deportation granted,Se concedió retención de deportación por asilo,NOUN,C2,/əˈsaɪ.ləm wɪðˈhəʊl.dɪŋ/,2,1105
asylum officer,oficial de asilo,Asylum officer conducted credible fear interview,El oficial de asilo realizó entrevista de temor creíble,NOUN,C1,/əˈsaɪ.ləm ˈɒf.ɪ.sər/,2,1593
administrative,administrativo,Administrative processing delayed visa,El procesamiento administrativo retrasó la visa,ADJ,B2,/ədˌmɪn.ɪˈstreɪ.tɪv/,3,2942
appeal,apelación,The appeal was filed within 30 days,La apelación se presentó dentro de 30 días,NOUN,B2,/əˈpiːl/,4,4005
adjudication,adjudicación,Visa adjudication process is complex,El proceso de adjudicación de visa es complejo,NOUN,C2,/əˌdʒuː.dɪˈkeɪ.ʃən/,1,1629
alien registration,registro de extranjeros,Alien registration card required,Se requiere tarjeta de registro de extranjeros,NOUN,C1,/ˈeɪ.li.ən ˌredʒ.ɪˈstreɪ.ʃən/,4,2122
adjustment,ajuste,Adjustment of status requires forms,El ajuste de estatus requiere formularios,NOUN,C1,/əˈdʒʌst.mənt/,3,2481
adjustment interview,entrevista de ajuste,Adjustment interview requires biometrics,La entrevista de ajuste requiere biométricos,NOUN,C1,/əˈdʒʌst.mənt ˈɪn.tə.vjuː/,2,2478
adjustment,ajuste,Adjustment of status requires forms,El ajuste de estatus requiere formularios,NOUN,C1,/əˈdʒʌst.mənt/,4,2353
appellant,apelante,Appellant has 30 days to appeal,El apelante tiene 30 días para apelar,NOUN,C1,/əˈpel.ənt/,3,1292
admissible,admisible,Applicant is admissible to the US,El solicitante es admisible a EE.UU.,ADJ,C1,/ədˈmɪs.ə.bəl/,3,2023
adjustment interview,entrevista de ajuste,Adjustment interview requires biometrics,La entrevista de ajuste requiere biométricos,NOUN,C1,/əˈdʒʌst.mənt ˈɪn.tə.vjuː/,3,2415
asylum eligibility,elegibilidad de asilo,Asylum eligibility requires persecution fear,La elegibilidad de asilo requiere temor a persecución,NOUN,C1,/əˈsaɪ.ləm ɪˌli.dʒəˈbɪl.ə.ti/,3,1636
asylum seeker,solicitante de asilo,Asylum seekers need legal help,Los solicitantes de asilo necesitan ayuda legal,NOUN,C1,/əˈsaɪ.ləm ˈsiː.kər/,5,2239
administrative review,revisión administrativa,Administrative review takes 6 months,La revisión administrativa toma 6 meses,NOUN,B2,/ədˌmɪn.ɪˈstreɪ.tɪv rɪˈvjuː/,3,2208
asylum claim,solicitud de asilo,Asylum claim requires credible fear,La solicitud de asilo requiere temor creíble,NOUN,C1,/əˈsaɪ.ləm kleɪm/,3,1957
application,solicitud,Visa application requires documents,La solicitud de visa requiere documentos,NOUN,B1,/ˌæp.lɪˈkeɪ.ʃən/,6,5000
alien registration,registro de extranjeros,Alien registration card required,Se requiere tarjeta de registro de extranjeros,NOUN,C1,/ˈeɪ.li.ən ˌredʒ.ɪˈstreɪ.ʃən/,4,2128
asylum withholding,retención de asilo,Asylum withholding deportation granted,Se concedió retención de deportación por asilo,NOUN,C2,/əˈsaɪ.ləm wɪðˈhəʊl.dɪŋ/,2,1048
affirmative asylum,asilo afirmativo,Affirmative asylum filed with USCIS,Asilo afirmativo presentado ante USCIS,NOUN,C2,/əˈfɜːr.mə.tɪv əˈsaɪ.ləm/,3,940
administrative,administrativo,Administrative processing delayed visa,El procesamiento administrativo retrasó la visa,ADJ,B2,/ədˌmɪn.ɪˈstreɪ.tɪv/,5,3030
asylum eligibility,elegibilidad de asilo,Asylum eligibility requires persecution fear,La elegibilidad de asilo requiere temor a persecución,NOUN,C1,/əˈsaɪ.ləm ɪˌli.dʒəˈbɪl.ə.ti/,3,1678
attorney,abogado,Immigration attorney filed the petition,El abogado de inmigración presentó la petición,NOUN,B2,/əˈtɜː.ni/,2,4460
applicant interview,entrevista del solicitante,Applicant interview scheduled for Monday,Entrevista del solicitante programada para lunes,NOUN,B2,/ˈæp.lɪ.kənt ˈɪn.tə.vjuː/,3,2776
asylum claim,solicitud de asilo,Asylum claim requires credible fear,La solicitud de asilo requiere temor creíble,NOUN,C1,/əˈsaɪ.ləm kleɪm/,3,2030
asylum seeker,solicitante de asilo,Asylum seekers need legal help,Los solicitantes de asilo necesitan ayuda legal,NOUN,C1,/əˈsaɪ.ləm ˈsiː.kər/,3,2153
adjudication,adjudicación,Visa adjudication process is complex,El proceso de adjudicación de visa es complejo,NOUN,C2,/əˌdʒuː.dɪˈkeɪ.ʃən/,3,1755
appeal,apelación,The appeal was filed within 30 days,La apelación se presentó dentro de 30 días,NOUN,B2,/əˈpiːl/,4,3880
admission hearing,audiencia de admisión,Admission hearing set for next week,Audiencia de admisión programada para próxima semana,NOUN,B2,/ədˈmɪʃ.ən ˈhɪə.rɪŋ/,4,2073
affidavit,declaración jurada,Submit affidavit of support,Presentar declaración jurada de apoyo,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt/,2,1314
asylum eligibility,elegibilidad de asilo,Asylum eligibility requires persecution fear,La elegibilidad de asilo requiere temor a persecución,NOUN,C1,/əˈsaɪ.ləm ɪˌli.dʒəˈbɪl.ə.ti/,5,1634
admission hearing,audiencia de admisión,Admission hearing set for next week,Audiencia de admisión programada para próxima semana,NOUN,B2,/ədˈmɪʃ.ən ˈhɪə.rɪŋ/,4,1976
admission hearing,audiencia de admisión,Admission hearing set for next week,Audiencia de admisión programada para próxima semana,NOUN,B2,/ədˈmɪʃ.ən ˈhɪə.rɪŋ/,2,1972
asylum claim,solicitud de asilo,Asylum claim requires credible fear,La solicitud de asilo requiere temor creíble,NOUN,C1,/əˈsaɪ.ləm kleɪm/,2,2088
advance parole,permiso anticipado de viaje,Advance parole allows reentry,El permiso anticipado permite reingreso,NOUN,C1,/ədˈvɑːns pəˈroʊl/,4,1609
approval,aprobación,Work permit approval takes 90 days,La aprobación del permiso de trabajo toma 90 días,NOUN,B2,/əˈpruː.vəl/,2,2780
admission parole,parole de admisión,Admission parole allows temporary stay,El parole de admisión permite estadía temporal,NOUN,C1,/ədˈmɪʃ.ən pəˈroʊl/,3,1678
adjudication,adjudicación,Visa adjudication process is complex,El proceso de adjudicación de visa es complejo,NOUN,C2,/əˌdʒuː.dɪˈkeɪ.ʃən/,2,1607
applicant,solicitante,The applicant must attend the interview,El solicitante debe asistir a la entrevista,NOUN,B2,/ˈæp.lɪ.kənt/,3,4595
admission parole,parole de admisión,Admission parole allows temporary stay,El parole de admisión permite estadía temporal,NOUN,C1,/ədˈmɪʃ.ən pəˈroʊl/,3,1737
asylum seeker,solicitante de asilo,Asylum seekers need legal help,Los solicitantes de asilo necesitan ayuda legal,NOUN,C1,/əˈsaɪ.ləm ˈsiː.kər/,3,2176
attorney,abogado,Immigration attorney filed the petition,El abogado de inmigración presentó la petición,NOUN,B2,/əˈtɜː.ni/,4,4383
affidavit support,declaración de apoyo,Affidavit of support required for family,Se requiere declaración de apoyo para familia,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt əv səˈpɔːrt/,4,1277
approval,aprobación,Work permit approval takes 90 days,La aprobación del permiso de trabajo toma 90 días,NOUN,B2,/əˈpruː.vəl/,3,2893
asylum,asilo,The asylum application was approved,La solicitud de asilo fue aprobada,NOUN,C1,/əˈsaɪ.ləm/,2,2901
admission,admisión,Temporary admission was granted,Se concedió admisión temporal,NOUN,B2,/ədˈmɪʃ.ən/,3,3590
admission record,registro de admisión,Check your admission record online,Verificar registro de admisión en línea,NOUN,B2,/ədˈmɪʃ.ən ˈrek.ɔːd/,3,2488
applicant,solicitante,The applicant must attend the interview,El solicitante debe asistir a la entrevista,NOUN,B2,/ˈæp.lɪ.kənt/,5,4595
admission parole,parole de admisión,Admission parole allows temporary stay,El parole de admisión permite estadía temporal,NOUN,C1,/ədˈmɪʃ.ən pəˈroʊl/,3,1739
appellant,apelante,Appellant has 30 days to appeal,El apelante tiene 30 días para apelar,NOUN,C1,/əˈpel.ənt/,3,1209
approval,aprobación,Work permit approval takes 90 days,La aprobación del permiso de trabajo toma 90 días,NOUN,B2,/əˈpruː.vəl/,2,2893
affidavit,declaración jurada,Submit affidavit of support,Presentar declaración jurada de apoyo,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt/,3,1356
admission record,registro de admisión,Check your admission record online,Verificar registro de admisión en línea,NOUN,B2,/ədˈmɪʃ.ən ˈrek.ɔːd/,3,2338
asylum,asilo,The asylum application was approved,La solicitud de asilo fue aprobada,NOUN,C1,/əˈsaɪ.ləm/,2,2972
affirmative asylum,asilo afirmativo,Affirmative asylum filed with USCIS,Asilo afirmativo presentado ante USCIS,NOUN,C2,/əˈfɜːr.mə.tɪv əˈsaɪ.ləm/,2,1006
admissible,admisible,Applicant is admissible to the US,El solicitante es admisible a EE.UU.,ADJ,C1,/ədˈmɪs.ə.bəl/,2,1979
attorney,abogado,Immigration attorney filed the petition,El abogado de inmigración presentó la petición,NOUN,B2,/əˈtɜː.ni/,4,4388
